% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 31.48    0.000193           2        87        69 openat
  9.30    0.000057           2        24           close
  9.30    0.000057           1        35           mmap
  8.65    0.000053           3        16           read
  6.36    0.000039           1        20           fstat
  5.22    0.000032           8         4         4 connect
  4.89    0.000030           4         7           write
  3.92    0.000024           6         4           socket
  3.59    0.000022           3         7         7 getxattr
  3.59    0.000022          11         2           getdents64
  3.43    0.000021           3         6         6 lgetxattr
  3.26    0.000020           3         6           lstat
  1.63    0.000010           5         2           munmap
  1.47    0.000009           4         2           ioctl
  1.47    0.000009           4         2         2 access
  1.14    0.000007           2         3           lseek
  0.82    0.000005           0         9           mprotect
  0.49    0.000003           3         1           futex
  0.00    0.000000           0        32        28 stat
  0.00    0.000000           0         3           brk
  0.00    0.000000           0         2           rt_sigaction
  0.00    0.000000           0         1           rt_sigprocmask
  0.00    0.000000           0         8           pread64
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         2         2 statfs
  0.00    0.000000           0         2         1 arch_prctl
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         1           prlimit64
------ ----------- ----------- --------- --------- ----------------
100.00    0.000613                   291       119 total
